TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,DF,CONTCODE,YEAR,VALUE,SHIPWT,FREIGHT_CHARGES
1,0106,55,5,1220,1,X,2024,245085,0,2616
1,0106,55,5,1220,2,X,2024,3180,0,113
1,0106,56,5,1220,1,X,2024,17094119,0,87419
1,0106,56,5,1220,2,X,2024,7408,0,412
1,0106,57,5,1220,1,X,2024,1740334,0,37467
1,0106,57,5,1220,2,X,2024,27108,0,888
1,0106,58,5,1220,1,X,2024,101369,0,97
1,0106,58,5,1220,2,X,2024,310617,0,6460
1,0106,59,5,1220,1,X,2024,4373739,0,167818
1,0106,59,5,1220,2,X,2024,31536,0,498
1,0106,60,5,1220,1,X,2024,186574,0,4892
1,0106,61,5,1220,1,X,2024,72324,0,685
1,0106,61,5,1220,2,X,2024,106822,0,2446
1,0106,61,8,1220,1,X,2024,5541,0,47
1,0106,62,5,1220,1,X,2024,30369,0,297
1,0106,62,5,1220,2,X,2024,158231,0,778
1,0106,63,5,1220,1,X,2024,402035,0,18215
1,0106,63,5,1220,2,X,2024,220888,0,21996
1,0106,64,5,1220,1,X,2024,5868,0,180
1,0106,64,5,1220,2,X,2024,4174,0,93
1,0106,65,5,1220,1,X,2024,19299,0,15
1,0106,65,5,1220,2,X,2024,6791,0,127
1,0106,68,5,1220,1,X,2024,12418206,0,525718
1,0106,68,5,1220,2,X,2024,259246,0,10868
1,0106,68,6,1220,1,X,2024,91847,0,1403
1,0106,68,8,1220,1,X,2024,4614,0,74
1,0106,69,5,1220,1,X,2024,580094,0,49263
1,0106,69,5,1220,2,X,2024,75383,0,1637
1,0106,70,5,1220,1,X,2024,5330924,0,144629
1,0106,70,5,1220,2,X,2024,79524,0,1520
1,0106,71,5,1220,1,X,2024,23641,0,425
1,0106,71,5,1220,2,X,2024,11120,0,164
1,0106,72,5,1220,1,X,2024,6826385,0,242870
1,0106,72,5,1220,2,X,2024,3097737,0,34516
1,0106,72,6,1220,1,X,2024,102760,0,2091
1,0106,73,5,1220,1,X,2024,56527486,0,3698403
1,0106,73,5,1220,2,X,2024,2109228,0,81727
1,0106,74,5,1220,1,X,2024,1068919,0,8818
1,0106,75,5,1220,1,X,2024,10381,0,284
1,0106,76,5,1220,1,X,2024,9404431,0,752036
1,0106,76,5,1220,2,X,2024,629811,0,19857
1,0106,78,5,1220,1,X,2024,1251796,0,62272
1,0106,79,5,1220,1,X,2024,32652,0,657
1,0106,79,5,1220,2,X,2024,25020,0,583
1,0106,80,5,1220,1,X,2024,118586,0,453
1,0106,80,5,1220,2,X,2024,399167,0,601
1,0106,82,5,1220,1,X,2024,484914,0,11407
1,0106,82,5,1220,2,X,2024,69758,0,1325
1,0106,83,5,1220,1,X,2024,383040,0,7415
1,0106,83,5,1220,2,X,2024,158522,0,1522
1,0106,84,5,1220,1,X,2024,91739133,0,1631599
1,0106,84,5,1220,2,X,2024,84873605,0,1406623
1,0106,84,8,1220,1,X,2024,27424,0,434
1,0106,84,8,1220,2,X,2024,10475,0,201
1,0106,85,5,1220,1,X,2024,20310753,0,316238
1,0106,85,5,1220,2,X,2024,2392315,0,38142
1,0106,86,5,1220,1,X,2024,2061280,0,21627
1,0106,86,5,1220,2,X,2024,29625,0,880
1,0106,87,5,1220,1,X,2024,158591078,0,2191669
1,0106,87,5,1220,2,X,2024,27728080,0,489071
1,0106,87,8,1220,1,X,2024,111019,0,1465
1,0106,88,5,1220,1,X,2024,2609101,0,23543
1,0106,88,5,1220,2,X,2024,252831,0,2503
1,0106,89,5,1220,1,X,2024,12946786,0,155880
1,0106,89,5,1220,2,X,2024,983316,0,10234
1,0106,90,5,1220,1,X,2024,21383950,0,133085
1,0106,90,5,1220,2,X,2024,4115358,0,38892
1,0106,92,5,1220,2,X,2024,12435,0,195
1,0106,93,5,1220,1,X,2024,28034450,0,147
1,0106,93,5,1220,2,X,2024,823876,0,1952
1,0106,94,5,1220,1,X,2024,13166484,0,276973
1,0106,94,5,1220,2,X,2024,1604698,0,44966
1,0106,95,5,1220,1,X,2024,1298815,0,31852
1,0106,95,5,1220,2,X,2024,826788,0,17154
1,0106,96,5,1220,1,X,2024,4478601,0,145190
1,0106,96,5,1220,2,X,2024,45391,0,1234
1,0106,96,6,1220,1,X,2024,59180,0,1475
1,0106,97,5,1220,1,X,2024,14412,0,308
1,0106,98,5,1220,1,X,2024,454607,0,1692
1,0106,98,5,1220,2,X,2024,104324,0,328
1,0107,07,5,1220,1,X,2024,2096170,0,181656
1,0107,11,5,1220,1,X,2024,454044,0,67967
1,0107,20,5,1220,1,X,2024,238219,0,4662
1,0107,28,5,1220,1,X,2024,17154,0,336
1,0107,29,5,1220,1,X,2024,9710,0,239
1,0107,31,5,1220,1,X,2024,356880,0,14244
1,0107,39,5,1220,1,X,2024,320836,0,10558
1,0107,44,5,1220,1,X,2024,4304714,0,45565
1,0107,47,5,1220,1,X,2024,45225,0,641
1,0107,47,6,1220,1,X,2024,2015789,0,23448
1,0107,47,6,1220,2,X,2024,194456,0,2779
1,0107,48,5,1220,1,X,2024,3316,0,135
1,0107,48,6,1220,1,X,2024,15781,0,22
1,0107,58,5,1220,1,X,2024,3361,0,3
1,0107,61,5,1220,2,X,2024,7999,0,797
1,0107,61,8,1220,2,X,2024,3206,0,99
1,0107,62,5,1220,2,X,2024,2959,0,292
1,0107,72,5,1220,1,X,2024,4198,0,104
1,0107,73,5,1220,1,X,2024,253862,0,9650
1,0107,73,5,1220,2,X,2024,5073,0,205
1,0107,73,8,1220,1,X,2024,6861,0,278
1,0107,76,5,1220,1,X,2024,218201,0,5319
1,0107,76,5,1220,2,X,2024,16140,0,349
1,0107,83,5,1220,2,X,2024,3536,0,90
1,0107,84,5,1220,1,X,2024,253140,0,7784
1,0107,84,5,1220,2,X,2024,3229,0,79
1,0107,85,5,1220,1,X,2024,16921,0,294
1,0107,85,5,1220,2,X,2024,14752,0,323
1,0107,87,5,1220,1,X,2024,11924,0,198
1,0107,89,5,1220,1,X,2024,19638,0,278
1,0107,90,5,1220,1,X,2024,5260,0,103
1,0107,98,5,1220,2,X,2024,3886,0,3
1,0108,07,5,1220,1,X,2024,1091408,0,61252
1,0108,10,5,1220,1,X,2024,707817,0,15448
1,0108,18,5,1220,1,X,2024,3535,0,62
1,0108,20,5,1220,1,X,2024,337367,0,6602
1,0108,27,5,1220,1,X,2024,2221583,0,214610
1,0108,31,5,1220,1,X,2024,74023,0,2373
1,0108,32,5,1220,1,X,2024,22083,0,147
1,0108,35,5,1220,1,X,2024,13751,0,501
1,0108,39,5,1220,1,X,2024,531929,0,6469
1,0108,44,5,1220,1,X,2024,4080674,0,114053
1,0108,44,6,1220,1,X,2024,11549732,0,101393
1,0108,47,5,1220,1,X,2024,62088,0,980
1,0108,47,6,1220,1,X,2024,188639,0,1864
