TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,0107,11,5,1220,22577,0,3508,1,X,01,2025
1,0107,31,5,1220,146109,0,6525,1,X,01,2025
1,0107,39,5,1220,62240,0,1345,1,X,01,2025
1,0107,44,5,1220,759759,0,6184,1,X,01,2025
1,0107,84,5,1220,24993,0,743,1,X,01,2025
1,0107,87,5,1220,99388,0,1670,1,X,01,2025
1,0108,20,5,1220,74358,0,4041,1,X,01,2025
1,0108,39,5,1220,159806,0,1646,1,X,01,2025
1,0108,44,5,1220,224405,0,7444,1,X,01,2025
1,0108,44,6,1220,360739,0,4826,1,X,01,2025
1,0108,47,5,1220,2895,0,41,1,X,01,2025
1,0108,48,5,1220,94780,0,1852,1,X,01,2025
1,0108,56,5,1220,31741,0,819,1,X,01,2025
1,0108,72,5,1220,49080,0,1218,1,X,01,2025
1,0108,73,5,1220,2730,0,110,1,X,01,2025
1,0108,84,5,1220,27804,0,826,1,X,01,2025
1,0108,84,5,1220,47048,0,1401,2,X,01,2025
1,0108,86,5,1220,6712,0,144,1,X,01,2025
1,0108,87,5,1220,46127,0,370,1,X,01,2025
1,0108,87,5,1220,119382,0,2234,2,X,01,2025
1,0109,27,5,1220,406141,0,39712,1,X,01,2025
1,0109,28,6,1220,35490,0,3127,1,X,01,2025
1,0109,30,5,1220,48688,0,250,2,X,01,2025
1,0109,39,5,1220,24930,0,536,1,X,01,2025
1,0109,40,5,1220,2927,0,72,1,X,01,2025
1,0109,42,5,1220,3189,0,59,2,X,01,2025
1,0109,47,5,1220,7936,0,249,1,X,01,2025
1,0109,48,5,1220,2113614,0,40570,1,X,01,2025
1,0109,68,5,1220,15522,0,1872,1,X,01,2025
1,0109,72,5,1220,37345,0,159,2,X,01,2025
1,0109,84,5,1220,20646,0,603,1,X,01,2025
1,0109,84,5,1220,15815,0,495,2,X,01,2025
1,0109,85,5,1220,23884,0,536,1,X,01,2025
1,0109,87,5,1220,43853,0,749,1,X,01,2025
1,0109,90,5,1220,4025,0,125,2,X,01,2025
1,0109,95,5,1220,4169,0,152,2,X,01,2025
1,0110,28,5,1220,3089,0,60,1,X,01,2025
1,0110,39,5,1220,10404,0,252,1,X,01,2025
1,0110,44,5,1220,853412,0,16448,1,X,01,2025
1,0110,48,5,1220,38492,0,753,1,X,01,2025
1,0110,87,5,1220,7499,0,125,1,X,01,2025
1,0111,39,5,1220,13758,0,158,1,X,01,2025
1,0111,44,5,1220,22546,0,188,1,X,01,2025
1,0111,84,5,1220,3230,0,35,2,X,01,2025
1,0112,23,5,1220,57796,0,346,1,X,01,2025
1,0115,03,5,1220,2872279,0,73576,1,X,01,2025
1,0115,03,5,1220,401693,0,6318,2,X,01,2025
1,0115,04,5,1220,4343,0,4,1,X,01,2025
1,0115,05,5,1220,217260,0,5726,1,X,01,2025
1,0115,05,5,1220,7756,0,152,2,X,01,2025
1,0115,07,5,1220,3494,0,134,1,X,01,2025
1,0115,08,5,1220,1893673,0,43499,1,X,01,2025
